Laptop Name,Price,Laptop Link
DELL Vostro 3500 Core i7-1165G7-8GB-1TB-MX330-2GB-15.6 inch FHD-DOS-Black,12999,https://compuscience.com.eg/en/laptop/1318-dell-vostro-3500-core-i7-1165g7-8gb-1tb-mx330-2gb-156-inch-fhd-dos-black.html
HP 15-dw3046ne i5-1135G7-4GB-SSD 256B-MX350-2GB-15.6 HD-DOS-Black,10299,https://compuscience.com.eg/en/laptop/1289-hp-15-dw3046ne-i5-1135g7-4gb-ssd-256b-mx350-2gb-156-hd-dos-black.html
Huawei MateBook D 15 AMD Ryzen 7 3700U-8GB-512GB SSD-Radeon RX Vega 10-15.6 Inch IPS FHD-Win10-Space Gray,16999,https://compuscience.com.eg/en/computers/1286-best-laptop-huawei-matebook-d-15-amd-ryzen-7-3700u-8gb-512gb-ssd-radeon-rx-vega-10-156-inch-ips-fhd-win10-space-gray.html
Dell Latitude E3510 i5-10210U-4GB-1TB-MX230-2GB-15.6 HD-DOS-Black,10999,https://compuscience.com.eg/en/laptop/1281-dell-latitude-e3510-i5-10210u-4gb-1tb-mx230-2gb-156-hd-dos-black.html
HP Notebook 250 G7 i5-1035G1-8GB-1TB-MX110-2GB-15.6 HD-Dos,11499,https://compuscience.com.eg/en/laptop/1258-best-laptop-hp-notebook-250-g7-i5-1035g1-8gb-1tb-mx110-2gb-156-hd-dos.html
Dell Latitude E3510 i7-10510U-8GB-1TB-MX230-2GB-15.6 HD-DOS-Black,13999,https://compuscience.com.eg/en/laptop/1171-best-laptop-dell-latitude-e3510-i7-10510u-8gb-1tb-mx230-2gb-156-hd-dos-black.html
Dell Latitude E3510 i5-10210U-8GB-1TB-MX230-2GB-15.6 HD-DOS-Black,11999,https://compuscience.com.eg/en/laptop/1102-best-laptop-dell-latitude-e3510-i5-10210u-8gb-1tb-mx230-2gb-156-hd-dos-black.html
msi Prestige 14 A11SCS-Core I7 1185G7U-16GB RAM-1TB SSD-4GB GTX1650TI 4G-14.0 FHD–win10-Carbon Grey,26999,https://compuscience.com.eg/en/laptop/1051-msi-prestige-14-a11scs-core-i7-1185g7u-16gb-ram-1tb-ssd-4gb-gtx1650ti-4g-140-fhdwin10-carbon-grey.html
msi GS66 Stealth 10SF Intel Core I7-10875-16GB RAM-1TB SSD-RTX 2070 8GB-Win10-15.6FHD+Gaming Mouse,39999,https://compuscience.com.eg/en/laptop/1041-msi-gs66-stealth-10sf-intel-core-i7-10875-16gb-ram-1tb-ssd-rtx-2070-8gb-win10-156fhdgaming-mouse.html
Acer Aspire 3 A315-56-33SX i3-1005G1-4GB-1TB-Intel Graphics-Win10-15.6 HD-Black,6699,https://compuscience.com.eg/en/laptop/963-acer-aspire-3-a315-56-33sx-i3-1005g1-4gb-1tb-intel-graphics-win10-156-hd-black.html
Lenovo IdeaPad L3 Core i5-10210U-8GB-1TB-MX130-2GB-15.6 FHD-DOS-Platinum Grey,10999,https://compuscience.com.eg/en/laptop/822-lenovo-ideapad-l3-core-i5-10210u-8gb-1tb-mx130-2gb-156-fhd-dos-platinum-grey.html
Lenovo IdeaPad 3 Core i3-10110U-4GB-1TB HDD-MX130-2G-15.6 HD-DOS-Blue,7999,https://compuscience.com.eg/en/laptop/776-lenovo-ideapad-3-core-i3-10110u-4gb-1tb-hdd-156hd-mx130-2g-dos-blue.html
